dimension   hello    world     the      cat      sat      mat
---------------------------------------------------------------
d0          0.12    -0.45     0.03     0.66    -0.17     0.41
d1         -0.34     0.88     0.11    -0.22     0.52     0.05
d2          0.56    -0.12    -0.27     0.14     0.15     0.13
d3          0.91     0.34     0.49    -0.55    -0.08     0.27
d4         -0.08     0.67    -0.63     0.09     0.61    -0.14
d5          0.44    -0.09     0.72     0.37    -0.44     0.83
d6         -0.67     0.41     0.18    -0.81     0.07    -0.02
d7          0.23    -0.56    -0.04     0.48    -0.25     0.36
d8          0.05     0.78     0.26    -0.06     0.90    -0.48
d9         -0.19     0.14    -0.31     0.29    -0.12     0.10
